seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12647,2024,KSA.KINGS.CUP,2276,280457,1,0,0,1,0,0,0,1,0,2,2,0,0,0,0,2024-10-13 05:10:59
12647,2024,KSA.KINGS.CUP,21446,280861,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:11:08
12647,2024,KSA.KINGS.CUP,8363,280862,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:58
12647,2024,KSA.KINGS.CUP,22022,283330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:01
12647,2024,KSA.KINGS.CUP,8346,283331,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2024-10-13 05:11:03
12647,2024,KSA.KINGS.CUP,18459,284840,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,22022,285258,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:11:01
12647,2024,KSA.KINGS.CUP,21834,285529,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:54
12647,2024,KSA.KINGS.CUP,21834,285531,1,0,1,2,0,0,0,0,0,2,3,1,0,0,0,2024-10-13 05:10:54
12647,2024,KSA.KINGS.CUP,22278,285623,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2024-10-13 05:11:07
12647,2024,KSA.KINGS.CUP,21446,285999,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:11:08
12647,2024,KSA.KINGS.CUP,22278,286005,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 05:11:07
12647,2024,KSA.KINGS.CUP,2276,286009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:59
12647,2024,KSA.KINGS.CUP,21965,286012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:58
12647,2024,KSA.KINGS.CUP,21828,286014,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:11:06
12647,2024,KSA.KINGS.CUP,21964,286015,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2024-10-13 05:11:02
12647,2024,KSA.KINGS.CUP,13033,286016,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:11:04
12647,2024,KSA.KINGS.CUP,21966,286017,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2024-10-13 05:11:07
12647,2024,KSA.KINGS.CUP,7131,286046,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:10:56
12647,2024,KSA.KINGS.CUP,21834,286049,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:54
12647,2024,KSA.KINGS.CUP,21446,286050,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:11:08
12647,2024,KSA.KINGS.CUP,21829,286249,1,0,0,0,0,0,1,0,0,3,7,1,0,0,5,2024-10-13 05:11:03
12647,2024,KSA.KINGS.CUP,22279,286250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:11:04
12647,2024,KSA.KINGS.CUP,18459,286255,1,1,1,3,0,0,0,0,0,0,1,0,0,0,2,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,18459,286643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,21829,287051,1,0,0,4,0,0,0,1,0,0,1,0,0,0,5,2024-10-13 05:11:03
12647,2024,KSA.KINGS.CUP,18459,287054,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,21833,287056,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2024-10-13 05:11:06
12647,2024,KSA.KINGS.CUP,21829,287057,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 05:11:03
12647,2024,KSA.KINGS.CUP,22022,287058,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:11:01
